PERMVIT	MONTH	ROUTE	SP_JUR	HARM_EV	RELJCT2	TYP_INT	WRK_ZONE	REL_ROAD	LGT_COND	WEATHER	FATALS	STATE	A_RU	A_INTER	A_TOD	A_DOW	A_CT	A_MC	A_SPCRA	A_PED	A_ROLL	A_POLPUR	A_POSBAC	A_D15_20	A_D65PLS	A_D21_24	A_HR	A_DIST	A_DROWSY	clusters	drunkDr
1	1	3	0	35	1	1	0	4	2	1	1	1	1	2	2	1	1	2	2	2	2	2	1	2	1	2	2	2	2	0	1
1	1	1	0	34	1	1	0	3	2	10	1	1	1	1	2	1	1	2	1	2	1	2	2	2	2	2	2	2	2	0	0
2	1	2	0	42	1	1	0	4	2	1	1	1	1	2	2	1	1	2	2	2	1	2	1	2	2	2	2	2	2	0	1
1	1	3	0	53	1	1	0	4	2	10	1	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	0	1
2	1	2	0	12	2	3	0	1	1	1	1	1	2	2	1	1	2	2	2	2	1	2	2	2	2	1	2	2	2	1	0
2	1	4	0	1	1	1	0	4	1	1	1	1	1	2	1	1	1	2	2	2	1	2	3	2	2	2	2	2	2	0	0
2	1	2	0	43	1	1	0	4	3	1	1	1	2	2	2	1	1	2	2	2	2	2	3	2	1	2	2	2	2	0	0
1	1	6	0	8	1	1	0	1	2	2	1	1	2	2	2	2	1	2	2	1	2	2	3	2	2	2	1	2	2	2	0
2	1	3	0	12	1	1	0	1	2	1	1	1	1	2	2	1	2	2	2	2	2	2	3	2	1	2	2	2	2	1	0
2	1	3	0	12	1	1	0	1	2	1	1	1	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	2	2	1	0
6	1	2	0	12	1	1	0	1	1	1	1	1	2	2	1	1	3	2	2	2	2	2	3	2	2	1	2	2	1	1	0
1	1	4	0	1	1	1	0	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	0	1
1	1	2	0	1	1	1	0	4	1	10	1	1	1	2	1	2	1	2	2	2	1	2	1	1	2	2	2	2	2	0	1
1	1	4	0	1	1	1	0	4	1	1	1	1	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	2	2	0	0
2	1	3	0	12	8	1	0	1	3	10	1	1	2	2	1	1	2	2	2	2	2	2	3	2	1	2	2	2	2	1	0
1	1	4	0	42	1	1	0	4	1	10	1	1	2	2	1	1	1	2	2	2	2	2	2	2	1	2	2	2	2	0	0
2	1	4	0	42	1	1	0	4	2	1	1	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	0	1
1	1	4	0	1	1	1	0	1	2	1	1	1	1	2	2	2	1	2	1	2	1	2	2	2	2	1	2	2	2	0	0
3	1	6	0	12	2	2	0	1	2	2	1	1	1	2	1	1	2	2	2	2	2	2	3	2	1	2	2	2	2	1	0
4	1	1	0	12	1	1	0	1	1	2	1	1	1	1	1	1	2	2	2	2	2	2	3	2	1	2	2	1	2	1	0
2	1	1	0	52	1	1	0	3	2	1	1	1	1	2	1	1	1	2	2	2	1	2	3	2	2	2	2	2	1	0	0
1	1	3	0	42	1	1	0	4	2	5	1	1	1	2	2	1	1	2	1	2	2	2	3	2	2	2	2	2	2	0	1
1	1	4	0	42	1	1	0	5	4	1	1	1	1	2	1	1	1	2	2	2	2	2	3	2	2	2	2	2	1	0	0
2	1	4	0	18	1	1	0	4	2	1	2	1	1	2	2	1	1	2	1	2	2	2	1	2	2	2	2	2	2	0	1
1	1	6	0	33	3	3	0	4	1	10	1	1	2	2	1	1	1	2	1	2	1	2	3	2	2	2	2	2	2	0	0
3	1	4	0	12	2	2	0	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	3	2	1	2	2	2	2	1	0
1	1	3	0	1	1	1	0	4	2	1	1	1	2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	2	2	0	1
1	1	2	0	59	3	3	0	4	2	2	1	1	1	2	2	1	1	2	1	2	2	2	3	2	2	1	2	2	2	0	0
1	1	4	0	8	2	3	0	1	5	1	1	1	1	2	1	2	1	2	2	1	2	2	3	2	2	2	2	1	2	2	0
1	1	4	0	34	1	1	0	4	4	1	1	1	2	2	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	0	1
2	1	6	0	42	1	1	0	4	3	2	2	1	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	0	1
